text,label
J’ai besoin d’un billet de Bohicon à Abomey-Calavi,TRIP
Aller à Djougou depuis Cotonou,TRIP
Il fait très chaud aujourd’hui,NOT_TRIP
Je pars demain de Natitingou pour Abomey-Calavi,TRIP
Quels sont les horaires,NOT_TRIP
D’accord,NOT_TRIP
D’accord,NOT_TRIP
Quels sont les horaires,NOT_TRIP
Ok merci,NOT_TRIP
Comment aller de Natitingou à Cotonou,TRIP
Ok merci,NOT_TRIP
Comment aller de Djougou à Parakou,TRIP
Bohicon Parakou,TRIP
Mon frère est à Abomey-Calavi,NOT_TRIP
Direction Cotonou depuis Bohicon,TRIP
D’accord,NOT_TRIP
Voyage prévu entre Abomey-Calavi et Cotonou,TRIP
J’ai besoin d’un billet de Lokossa à Natitingou,TRIP
Je voudrais voyager de Abomey-Calavi vers Parakou,TRIP
Comment fonctionne l’application,NOT_TRIP
Je ne voyage plus,NOT_TRIP
Finalement j’annule,NOT_TRIP
Je voulais juste demander une information,NOT_TRIP
Je veux aller de Bohicon à Cotonou,TRIP
Voyage prévu entre Natitingou et Bohicon,TRIP
J’ai besoin d’un billet de Natitingou à Lokossa,TRIP
Je veux aller de Cotonou à Porto-Novo,TRIP
Je pars demain de Djougou pour Lokossa,TRIP
Je voudrais voyager de Natitingou vers Cotonou,TRIP
Comment aller de Porto-Novo à Bohicon,TRIP
Trajet Porto-Novo Lokossa,TRIP
Quels sont les horaires,NOT_TRIP
Je voudrais voyager de Cotonou vers Djougou,TRIP
Direction Abomey-Calavi depuis Bohicon,TRIP
Mon frère est à Djougou,NOT_TRIP
Mon frère est à Parakou,NOT_TRIP
J’ai besoin d’un billet de Natitingou à Bohicon,TRIP
Mon frère est à Cotonou,NOT_TRIP
Quels sont les horaires,NOT_TRIP
D’accord,NOT_TRIP
Il fait très chaud aujourd’hui,NOT_TRIP
Je voudrais voyager de Bohicon vers Porto-Novo,TRIP
Il fait très chaud aujourd’hui,NOT_TRIP
Il fait très chaud aujourd’hui,NOT_TRIP
Comment aller de Natitingou à Bohicon,TRIP
Je voulais juste demander une information,NOT_TRIP
D’accord,NOT_TRIP
Finalement j’annule,NOT_TRIP
Comment aller de Porto-Novo à Abomey-Calavi,TRIP
Je voulais juste demander une information,NOT_TRIP
Mon frère est à Bohicon,NOT_TRIP
J’ai besoin d’un billet de Natitingou à Lokossa,TRIP
Je pars demain de Djougou pour Porto-Novo,TRIP
D’accord,NOT_TRIP
Direction Parakou depuis Natitingou,TRIP
D’accord,NOT_TRIP
Porto-Novo Natitingou,TRIP
D’accord,NOT_TRIP
Je pars demain de Cotonou pour Porto-Novo,TRIP
Je pars demain de Djougou pour Parakou,TRIP
Trajet Lokossa Parakou,TRIP
Il fait très chaud aujourd’hui,NOT_TRIP
Ok merci,NOT_TRIP
Je veux aller de Porto-Novo à Cotonou,TRIP
D’accord,NOT_TRIP
Merci beaucoup,NOT_TRIP
Mon frère est à Porto-Novo,NOT_TRIP
Il fait très chaud aujourd’hui,NOT_TRIP
Je pars demain de Cotonou pour Bohicon,TRIP
Je pars demain de Parakou pour Porto-Novo,TRIP
Je pars demain de Porto-Novo pour Cotonou,TRIP
Il fait très chaud aujourd’hui,NOT_TRIP
Je veux aller de Parakou à Cotonou,TRIP
Merci beaucoup,NOT_TRIP
Je pars demain de Natitingou pour Lokossa,TRIP
Je voulais juste demander une information,NOT_TRIP
Trajet Cotonou Natitingou,TRIP
J’ai besoin d’un billet de Bohicon à Parakou,TRIP
Voyage prévu entre Porto-Novo et Bohicon,TRIP
Aller à Bohicon depuis Natitingou,TRIP
Je ne voyage plus,NOT_TRIP
Finalement j’annule,NOT_TRIP
Finalement j’annule,NOT_TRIP
Parakou Bohicon,TRIP
Comment aller de Abomey-Calavi à Cotonou,TRIP
Il fait très chaud aujourd’hui,NOT_TRIP
D’accord,NOT_TRIP
Voyage prévu entre Natitingou et Bohicon,TRIP
J’ai besoin d’un billet de Djougou à Abomey-Calavi,TRIP
Comment aller de Bohicon à Djougou,TRIP
Je voulais juste demander une information,NOT_TRIP
Voyage prévu entre Djougou et Cotonou,TRIP
Trajet Bohicon Parakou,TRIP
Je voudrais voyager de Porto-Novo vers Djougou,TRIP
Comment fonctionne l’application,NOT_TRIP
Comment fonctionne l’application,NOT_TRIP
J’ai besoin d’un billet de Natitingou à Cotonou,TRIP
Trajet Bohicon Abomey-Calavi,TRIP
Je pars demain de Porto-Novo pour Djougou,TRIP
Direction Lokossa depuis Cotonou,TRIP
Ok merci,NOT_TRIP
Je voudrais voyager de Bohicon vers Natitingou,TRIP
Je veux aller de Parakou à Djougou,TRIP
Mon frère est à Bohicon,NOT_TRIP
D’accord,NOT_TRIP
Direction Djougou depuis Bohicon,TRIP
Trajet Djougou Parakou,TRIP
Direction Lokossa depuis Parakou,TRIP
Je pars demain de Parakou pour Natitingou,TRIP
Comment aller de Bohicon à Djougou,TRIP
Voyage prévu entre Abomey-Calavi et Bohicon,TRIP
Voyage prévu entre Lokossa et Natitingou,TRIP
Merci beaucoup,NOT_TRIP
Je ne voyage plus,NOT_TRIP
Je pars demain de Djougou pour Natitingou,TRIP
Je voudrais voyager de Porto-Novo vers Lokossa,TRIP
Finalement j’annule,NOT_TRIP
Lokossa Porto-Novo,TRIP
Finalement j’annule,NOT_TRIP
Voyage prévu entre Parakou et Djougou,TRIP
Je voulais juste demander une information,NOT_TRIP
Il fait très chaud aujourd’hui,NOT_TRIP
Je voudrais voyager de Parakou vers Porto-Novo,TRIP
Voyage prévu entre Natitingou et Lokossa,TRIP
Je voulais juste demander une information,NOT_TRIP
Aller à Porto-Novo depuis Lokossa,TRIP
Aller à Lokossa depuis Bohicon,TRIP
Voyage prévu entre Cotonou et Parakou,TRIP
Cotonou Natitingou,TRIP
Je voulais juste demander une information,NOT_TRIP
Trajet Parakou Natitingou,TRIP
Comment aller de Porto-Novo à Djougou,TRIP
Je voulais juste demander une information,NOT_TRIP
Je voudrais voyager de Abomey-Calavi vers Djougou,TRIP
Je pars demain de Bohicon pour Djougou,TRIP
Comment aller de Cotonou à Bohicon,TRIP
Quels sont les horaires,NOT_TRIP
Comment fonctionne l’application,NOT_TRIP
Direction Parakou depuis Porto-Novo,TRIP
Finalement j’annule,NOT_TRIP
Je voulais juste demander une information,NOT_TRIP
Comment fonctionne l’application,NOT_TRIP
Quels sont les horaires,NOT_TRIP
Il fait très chaud aujourd’hui,NOT_TRIP
Il fait très chaud aujourd’hui,NOT_TRIP
Je veux aller de Porto-Novo à Abomey-Calavi,TRIP
Comment fonctionne l’application,NOT_TRIP
D’accord,NOT_TRIP
Aller à Natitingou depuis Cotonou,TRIP
Je veux aller de Bohicon à Abomey-Calavi,TRIP
Je voudrais voyager de Parakou vers Abomey-Calavi,TRIP
Quels sont les horaires,NOT_TRIP
Djougou Lokossa,TRIP
Comment fonctionne l’application,NOT_TRIP
Aller à Natitingou depuis Lokossa,TRIP
J’ai besoin d’un billet de Lokossa à Cotonou,TRIP
Comment aller de Parakou à Porto-Novo,TRIP
Il fait très chaud aujourd’hui,NOT_TRIP
Il fait très chaud aujourd’hui,NOT_TRIP
Je pars demain de Lokossa pour Abomey-Calavi,TRIP
